author_name,author_desc,tweet,language
Ghanim alhamli,,RT @BIvvck: Apple accidentally leaked an iPhone 8 advertisement. https://t.co/tOHROI4GtV,en
saderzz,,RT @_davidalbright: my grades are lower than the girl with apple bottom jeans and boots with the fur,en
A.RADIO,,#RADIO #80s #juice Now Playing #Around My Dreams #Silver Pozzoli #APPS Apple https://t.co/yzl3JCk5xu Google https://t.co/V6aN6Da2dZ,en
Workout Xtreme,Get in shape with @MyTraining. Download the FREE iPhone App:,"hi, I saw that u are a health fan, so I suggest you to see my free app, it's known as ""mytraining"" on apple store https://t.co/8UogBIJgu0",en
Workout Shape,Get in shape with @MyTraining. Download the FREE iPhone App:,"heyy, I noticed that you're a gym lover, so I suggest you to check my new app, it's called ""my training"" on Apple https://t.co/YvXUjSMUq3",en
burgermeister,shook,RT @CUMTROVERSY: me in the Apple Store after I lose my wireless headphones https://t.co/YF1KP62udp,en
Karen,,"RT @meanpIastic: idc, Apple could never ever top the iconic iOS 7 update https://t.co/HqKC3mynzF",en
Melanie Mitchell,,RT @kaylafogarty1: I want to go apple picking,en
Tbaby,"TCHS Cheerleader, UCA Finalist 2016",RT @CauseWereWasted: The only Apple product that's loyal and lasts forever. https://t.co/E6tqSvYVQp,en
Workout Partner,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I saw that u are a training admirer, so I ask you to test my free app, it's called ""my training"" on Apple https://t.co/JaVWUeTQ8Z",en
Matt,i play guitar and I can get into the movies after 8 PM,"RT @DisickReactions: idc, Apple could never ever top the iconic iOS 7 update https://t.co/jS8pZKRzcM",en
Fierce Brake,So wondefully does God suit men for the work he designs them for,Spotify has reached the 40 million paid subscribers milestone - SlashGear https://t.co/fkbcGpJgmM,en
Fireplant,I like dank memes & enjoy playing games,Pulling up to Apple headquarters after they changed all emojis https://t.co/46MGliPsd0,en
Great CellPhones Ite,Great CellPhones Items - Deals and More - Search for any product and BuyCheap2Day!!,FOR APPLE IPHONE 7/7 PLUS SHOCKPROOF VIVID TUFF ARMOR RUGGED CASE COVER+STYLUS https://t.co/7AOvLIHx7m https://t.co/IhmZvkKljI,en
Ivy Rivas,Instagram: @ivyrivas22 Snap chat: ivyrivas22,RT @GuyCodes: The only Apple product that's loyal and lasts forever. https://t.co/6cXA6YK3KU,en
Myron Dean Quon,Nonprofit leader - Leadership/organizational development and emerging communities. Group Ex Instructor too!,National anthem protests trickling down to high school level - The Washington Post https://t.co/inepbFcdNR,en
Rose Fryta,#Applications Lover,Puppy Emoji Stickers for iMessage - Vyasa https://t.co/4iR826QozR #Applications #iTunes,en
The Dutch Cajonist,Welcome to the Official Twitter of The Dutch Cajonist !,"Spotify Reaches 40 Million Subscribers, Outpaces Apple Music Growth - The FADER https://t.co/WohfgPyHwK #TDC",en
Rose Fryta,#Applications Lover,English Cottage House Plans! - Millennium Maximus https://t.co/Wx1bmZTfJS #Applications #iTunes,en
David Kyle Norman,20||taken||snapchat: davidkylenorman,iOS 10 seriously sucks. Let's get it together apple.,en
Baby Fresh Timi,Kindly Follow Back,Top 7 Bogus Health Claims About Apple Cider Vinegar; A Must Read - https://t.co/6N2ydBk2kT https://t.co/4RE0RAgiXl,en
Rose Fryta,#Applications Lover,British Monarchy Guide! - Andreea Jones https://t.co/gjkCh8wPOH #Applications #iTunes,en
Rose Fryta,#Applications Lover,Road Signs Sticker Pack - Jeffrey Kempster https://t.co/DA4YiE2n8b #Applications #iTunes,en
CaRoL,,"RT @jfcyoungho: 35. yongguk's shock when he actually split the apple with his bare hands
https://t.co/Wc0tLW9K1M",en
Rose Fryta,#Applications Lover,Cell Number Finder - Neeraj . https://t.co/uzDvQgAPrD #Applications #iTunes,en
Emma Rose,gmu || insta @itsERL_,RT @_annettevan: Join phi kappa apple pie sig chi rho rho rho your boat delta omega 3 fish oil,en
Fitness Shape,Get in shape with @MyTraining. Download the FREE iPhone App:,"heyy, I checked that u are a workout admirer, so I ask you to try my new app, it's known as ""my training"" on Apple https://t.co/EtILasBn1J",en
dat boi,"life's simple, you make decisions and you don't look back sc: Pete_r11",Apple put these little water gun emojis cause these nigghas childish,en
Rose Fryta,#Applications Lover,"A First Spanish Reader - quiz, flashcard - Trang Hoai https://t.co/2xsU26Yxom #Applications #iTunes",en
Scott @ WFNY,"Writer, Editor of WFNY; work featured at ESPN and SBNation. Sports, social media, longreads, music, tech, sneakers. Size 12. SC: scottsargent55","@GABrownsGuy Love it. A little more than a Chromestick, but syncs with all other Apple devices. Quality of most streams is better than DTV.",en
Rose Fryta,#Applications Lover,Queen of Divas - PicoCandy https://t.co/XsHl0rnhOA #Applications #iTunes,en
Andrea Montoya,"La vida no se trata de encontrarte a ti mismo, sino de crearte a ti mismo.","El nuevo Apple Watch intenta conquistar a los deportistas, conoce los detalles de este dispositivo https://t.co/b3c0bEl3oy",es
Workout Shape,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I saw that u are a exercise lover, so I invite you to see my free app, it's called ""mytraining"" on Apple https://t.co/SVDctKe0yL",en
Rose Fryta,#Applications Lover,Currency Flags - Stickers - Codesparq https://t.co/wuwq1rerjb #Applications #iTunes,en
Workout Training,Get in shape with @MyTraining. Download the FREE iPhone App:,"heyy, I checked that u are a gym fan, so I suggest u to test my new app, it's known as MyTraining on apple store https://t.co/g1v1gsymOS",en
Rose Fryta,#Applications Lover,Animated Chihuahua Stickers - NuVex LLC https://t.co/ZYaLrAlJrv #Applications #iTunes,ro
Rose Fryta,#Applications Lover,Pootopia - James O'Connor https://t.co/Z3qqCfgmpH #Applications #iTunes,cy
Rose Fryta,#Applications Lover,Hangover Sticker Set - Bob Pluss https://t.co/Aa4ZWhv2Pv #Applications #iTunes,en
Rose Fryta,#Applications Lover,Yoga-Radiate - ECKO Design https://t.co/zdHKOQtl9U #Applications #iTunes,en
Rose Fryta,#Applications Lover,Poker Stickers - Ki Tat Chung https://t.co/dQrCwL8yaC #Applications #iTunes,en
Rose Fryta,#Applications Lover,Anime Sticker - Vladislav Popov https://t.co/N2MVZYo05W #Applications #iTunes,und
Rose Fryta,#Applications Lover,New Emoji Stickers by Emoji World - Emoji World https://t.co/s953d2gfMm #Applications #iTunes,en
Charlotte McNeil,so i like food,RT @emmaamcneill: The other day an apple lady yelled at me for asking about the iPhone 7 being waterproof... It's water resistant,en
Gym World,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I noticed that u are a gym lover, so I invite u to try my new app, it's known as ""my training"" on Apple https://t.co/JBL42gl6nE",en
Rose Fryta,#Applications Lover,Navy Emoji Stickers - Emoji World https://t.co/Z1yUT1Eaq6 #Applications #iTunes,en
Workout Gain,Get in shape with @MyTraining. Download the FREE iPhone App:,"hello, I saw that you're a gym lover, so I suggest u to test my free app, it's known as ""mytraining"" on Apple https://t.co/vt493SKmDM",en
Peezy.,,RT @yiggityyoung: Apple completely gutted and destroyed the music app with this update.,en
Fitness Muscles,Get in shape with @MyTraining. Download the FREE iPhone App:,"hello, I noticed that u are a workout lover, so I ask u to test my new app, it's known as MyTraining on Apple https://t.co/08rXh8sRmg",en
Rose Fryta,#Applications Lover,Yoga-Transcend - ECKO Design https://t.co/7mGYxsYDzi #Applications #iTunes,en
Rose Fryta,#Applications Lover,Triple Fun - yang liu https://t.co/wOQZWAQVAO #Applications #iTunes,in
Workout Appstore,Get in shape with @MyTraining. Download the FREE iPhone App:,"heyy, I checked that you're a gym enthusiast, so I suggest u to see my iOS app, it's called ""mytraining"" on Apple https://t.co/sKKmKRWNHv",en
Ali Ilyas,YM Dallas Wakeland 2018,RT @BruleyMichael: Is this what you wanted @Apple https://t.co/PzRNkW9Mvj,en
Rose Fryta,#Applications Lover,Marine Emoji Stickers - Emoji World https://t.co/C07KsEOvfn #Applications #iTunes,en
Workout Bigger,Get in shape with @MyTraining. Download the FREE iPhone App:,"heyy, I noticed that u are a health fan, so I suggest u to test my iOS app, it's called MyTraining on Apple https://t.co/57CLLgMlrf",en
Gym Partner,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I saw that u are a workout fan, so I invite u to see my free app, it's called ""mytraining"" on Apple https://t.co/hrXCpdVOcj",en
Rose Fryta,#Applications Lover,Wild Animal Racing Challenge 3D Full - Tayga Games OOO https://t.co/3kwC5VRktQ #Applications #iTunes,en
Terrific CellPhones,Terrific CellPhones Items - Deals and More - Search for any product and BuyCheap2Day!!,New Luxury Ultra-thin PU Leather Back Skin Case Cover For Apple iPhone 6 6S Gray https://t.co/D2iowozIKj https://t.co/4Uy5jXhXXI,en
Rose Fryta,#Applications Lover,Monster Pack Attack - Benjamin Swygart https://t.co/yMUyQJr28Q #Applications #iTunes,en
Tabish Waseem,"#Entrepreneur, #Blogger, #Digital #Marketer, #Founder. #DigitalMarketing expert and #Product #Manager in a #Medical #Company
#Tashify, #Otovent, #OME, #iluxur","RT @CNET: When it comes to the Apple Watch, the second time's the charm. https://t.co/5VYJAIdIDM",en
Matt - Pennyz,"Part time YouTuber, Mostly Twitch streamer, Follow My Twitch which you will find in the description of my YouTube down there... :3","@Apple @AppleSupport like for example, like or retweet something when it pops up on screen",en
Rose Fryta,#Applications Lover,Wurd Balloons - Dallas Prichard https://t.co/7tlj5XmNP8 #Applications #iTunes,en
bankroll ray,all about you & then some .,RT @FucKasper: When is @Apple going to make group FaceTime?,en
James C Bruckelmeyer,"Virginia Tech Graduate, Virginia Beach Native, Married the Love of my Life, Privileged to Lead the Greatest Team in Retail!","3rd Party!! @GJ2016press

Union Leader of New Hampshire Endorses Gary Johnson Over Donald Trump - The New York Times
https://t.co/FsCXnGJqvR",en
Rose Fryta,#Applications Lover,Yoga-Reveal - ECKO Design https://t.co/ubhxCn8HYW #Applications #iTunes,es
Greg Rudman,"19  // UCF // Cyber Security // EDM // Success is not final, failure is not fatal: it is the courage to continue that counts. //",@schen15 fuck yeah https://t.co/qOZQkT9Adr,en
india.,"| if you ain't got it you ain't got it, the theory is brilliant. |","Guy in the Apple Store also told me they don't get special privileges w/phone releases, gotta wait in line like everyone else lol shitty",en
Workout Free,Get in shape with @MyTraining. Download the FREE iPhone App:,"hi, I saw that you're a gym lover, so I suggest you to try my new app, it's known as MyTraining on Apple https://t.co/f6408TJE8K",en
Workout Plans,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I checked that u are a fitness fan, so I ask you to try my iOS app, it's known as ""mytraining"" on Apple https://t.co/WxjQt6Kq5N",en
Guapo Diablo,"The grass isn't always greener on the other side, it's green where you water it",I will say being able to easily pick and search for these images and gifs on the new apple update is pretty raw,en
Sean Frazier,"Father, husband, heavy metal thunder... oh and mobile and security. Opinions here are mine and mine alone.","Apple Watch 2 Review Roundup: The Good, The Bad And The In-Between https://t.co/ogQEarEPVu",en
why?,"a vos te dicen consolador, porque te crees poronga y sos tremendo aparato","RT @beamiller: you've had a single apple, i've had no caffeine, it's a lose lose right now my friend. https://t.co/RR9hG4Sm5v",en
Mattie Skidmore,Health Rep,Looking for recipes to snack healthier. Discovered 1 for yummy apple chips: https://t.co/I7GrwM4RyJ #FitFam,en
John-Bunya Klutse,"Expert in online brand promotions.
#Christian #Entrepreneur #WebEngineer #OnlineMarketer #Tech #Blogger IG: jbklutse T:0272839333","Apple Introduces ""AirPods"" Which Uses A Better Wireless Techno https://t.co/6Ya7GloXKc #contentmarketing #blogging #SEO #tech #jbklutse #VR",en
Gym Easy,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I saw that u are a health lover, so I invite you to see my new app, it's called ""my training"" on apple store https://t.co/oLYEfXYYZs",en
Gym Partner,Get in shape with @MyTraining. Download the FREE iPhone App:,"heyy, I saw that u are a training lover, so I ask you to see my new app, it's known as ""mytraining"" on apple store https://t.co/z0NHgNEKu3",en
Keith S. Ellard,,@tim_cook @AppleSupport @Apple https://t.co/I7mZEn1IaN,und
Fitness Xtreme,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I saw that u are a health fan, so I ask you to test my iOS app, it's called ""mytraining"" on Apple https://t.co/UVLfol1Q4U",en
Fitness Online,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I checked that u are a exercise lover, so I ask u to try my new app, it's known as ""mytraining"" on Apple https://t.co/OHh0BLpY2r",en
Woot-Off!,"Check out who we're following for other Woot accounts, and follow us on Facebook for extra excitement: https://www.facebook.com/woot",$29.99 : Apple iPad Smart Case Pink - MD456LL/A https://t.co/sO0Yn61QOe,en
Christopher Bernard,"GVSU Alum '15. Follow my adventures and travels on Instagram, Snapchat, Beme, and YouTube(ish): thechrisbernard",Just downloaded iOS 10 and it is so amazing to delete all the default apple apps I have never used. So much cleaner.,en
Mikhala,,"RT @FreddyAmazin: idc, Apple could never ever top the iconic iOS 7 update https://t.co/wydzIVfIWS",en
Jenice Tom,"I'm just a girl in the world. UCLA '95 BA / Cornell '02 MBA, self-proclaimed data geek & map enthusiast. Dir, RE Analytics @CVSHealth All tweets are my own",RT @MONEY: iPhone 7 preorders just lifted Apple stock https://t.co/3O9gLzgAVs,en
Teo,reMEMBER,"If you don't like Apple products but yet year after year you continue to purchase them, then who's fault is it really?",en
Fitness Free,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I checked that u are a fitness enthusiast, so I ask you to see my free app, it's called ""mytraining"" on Apple https://t.co/GJtpZ0W0iq",en
Workout Gainz,Get in shape with @MyTraining. Download the FREE iPhone App:,"hello, I noticed that u are a exercise lover, so I invite u to test my iOS app, it's called ""my training"" on Apple https://t.co/IkwYIbfjT5",en
The Gotjap,,RT @MONEY: iPhone 7 preorders just lifted Apple stock https://t.co/3O9gLzgAVs,en
Fitness Online,Get in shape with @MyTraining. Download the FREE iPhone App:,"hey, I saw that u are a workout enthusiast, so I ask you to try my iOS app, it's called ""my training"" on Apple https://t.co/w0gWfis7B0",en
dadrian allen,,I have reached level 26! Let's play this awesome game - #SUPERSTARLIFE https://t.co/7JeqHCufDt,en
Mac App Store Top 20,http://j.mp/1mMfen3 Mac App Store Top 20 . United States China Korea United Kingdom France Australia Germany Japan  http://j.mp/YolpPN,Australia Paid 24. App for Google Drive - James Kelly  https://t.co/K0a0EKQg4C  #mac  #apple  3587,en
Greg Stahl,Roman Catholic; U.S. Air Force Veteran; Conservative; NRA 'Benefactor' Life Member; Humane Society Supporter; Sports; All Things Apple.,Apple Holds Back the Best Thing About the Apple TV Update https://t.co/lvcD78ok9B,en
Ms. Pezzuto,Very special educator. Personal Trainer. Broker. Proud child of my parents.,RT @newscientist: Apple's embrace of hearables is much bigger than just a new iPhone  https://t.co/9kJQuNTZ2j https://t.co/xT0ix93g3M,en
Tori D,work in progress,"RT @FemalePains: idc, Apple could never ever top the iconic iOS 7 update https://t.co/D8azo5XCF9",en
Workout Easy,Get in shape with @MyTraining. Download the FREE iPhone App:,"hi, I noticed that u are a fitness fan, so I ask u to check my new app, it's known as ""my training"" on apple store https://t.co/F5QzdstzcL",en
Top 10 Books,"http://j.mp/1mMfen3 iTunes Store Top 10 Books. United States, China, Korea, United Kingdom, France, Australia, Germany, Japan, http://j.mp/YolpPN",Australia Paid 34. Act Two - Denise Grover Swank  https://t.co/uQpLouvfVh  #Books #iTunes #iPhone #Apple  3587,en
chris goble,Physicist & educator exploring education's reform resistance via multi-level selection dynamics & quasi-religious mores. Easily distracted by odd politics,"Always interesting to hear things not normally brought out to the public 

https://t.co/YrD7FeOl8R",en
cheyenne,I'm a beverage enthusiast,only cool thing about ios 10 is night shift mode. way to go apple for caring about my eyes,en
